SAMPLE	SEQ_TYPE	RUN_ID	PROFILE
HG00733	STD	20190124_0342_1-A9-D9_PAD30540_9f881dbe	prom1_sup_kit14
HG00733	STD	20190123_0321_1-E5-H5_PAD29888_71217e61	prom1_sup_kit14
HG00733	STD	20190125_0235_1-A9-D9_PAD30540_11444e30	prom1_sup_kit14
HG00733	STD	20190124_0332_1-E9-H9_PAD29829_43d8b46b	prom1_sup_kit14
HG00733	STD	20190124_0332_1-A9-D9_PAD30540_e9b25d7f	prom1_sup_kit14
HG00733	STD	20190125_0235_1-E9-H9_PAD29829_72e4bf25	prom1_sup_kit14
HG00733	STD	20190124_0340_1-A9-D9_PAD30540_9f4a8ec4	prom1_sup_kit14
HG00733	STD	20190125_0233_1-E5-H5_PAD29888_5158a29e	prom1_sup_kit14
HG00733	STD	20190124_0243_1-E5-H5_PAD29888_ecde7959	prom1_sup_kit14
HG00733	STD	20190126_0601_1-A9-D9_PAD30540_e60a94e7	prom1_sup_kit14
HG00733	STD	20190126_0601_1-E9-H9_PAD29829_fc45dbc3	prom1_sup_kit14
